date,product_name,shelf_life_days,units_sold,units_produced,starting_inventory,spoilage_units,stockout_units,ending_inventory
2025-09-13,Choco Blast,8,52,57,182,0,0,130
2025-09-13,Coconut Water,5,160,146,518,0,0,358
2025-09-13,Dynamic Green,5,22,30,63,0,0,41
2025-09-13,Kelapa Ijo,5,77,79,345,0,0,268
2025-09-13,Sun Kissed,5,37,48,149,0,0,112
2025-09-13,Tropical Vibes,5,59,56,172,0,0,113
2025-09-13,Vanilla Shake,8,36,10,104,0,0,68
2025-09-14,Choco Blast,8,47,62,192,0,0,145
2025-09-14,Coconut Water,5,156,192,550,0,0,394
2025-09-14,Dynamic Green,5,22,26,67,0,0,45
2025-09-14,Kelapa Ijo,5,103,92,360,0,0,257
2025-09-14,Sun Kissed,5,38,44,156,0,0,118
2025-09-14,Tropical Vibes,5,67,70,183,0,0,116
2025-09-14,Vanilla Shake,8,42,43,111,0,0,69
2025-09-15,Choco Blast,8,51,56,201,0,0,150
2025-09-15,Coconut Water,5,120,187,581,0,0,461
2025-09-15,Dynamic Green,5,12,26,71,0,0,59
2025-09-15,Kelapa Ijo,5,79,123,380,0,0,301
2025-09-15,Sun Kissed,5,38,45,163,0,0,125
2025-09-15,Tropical Vibes,5,34,80,196,0,0,162
2025-09-15,Vanilla Shake,8,12,50,119,0,0,107
2025-09-16,Choco Blast,8,67,61,211,0,0,144
2025-09-16,Coconut Water,5,124,144,605,0,0,481
2025-09-16,Dynamic Green,5,15,14,73,0,0,58
2025-09-16,Kelapa Ijo,5,83,94,395,0,0,312
2025-09-16,Sun Kissed,5,34,45,170,0,0,136
2025-09-16,Tropical Vibes,5,21,40,202,0,0,181
2025-09-16,Vanilla Shake,8,22,14,121,0,0,99
2025-09-17,Choco Blast,8,35,80,224,0,0,189
2025-09-17,Coconut Water,5,75,148,629,0,0,554
2025-09-17,Dynamic Green,5,13,18,76,0,0,63
2025-09-17,Kelapa Ijo,5,63,99,411,0,0,348
2025-09-17,Sun Kissed,5,35,40,176,0,0,141
2025-09-17,Tropical Vibes,5,38,25,206,0,0,168
2025-09-17,Vanilla Shake,8,16,26,125,0,0,109
2025-09-18,Choco Blast,8,54,42,231,0,0,177
2025-09-18,Coconut Water,5,116,90,644,0,0,528
2025-09-18,Dynamic Green,5,15,15,78,0,0,63
2025-09-18,Kelapa Ijo,5,65,75,423,0,0,358
2025-09-18,Sun Kissed,5,30,42,183,0,0,153
2025-09-18,Tropical Vibes,5,37,45,213,0,0,176
2025-09-18,Vanilla Shake,8,13,19,128,0,0,115
2025-09-19,Choco Blast,8,38,64,241,0,0,203
2025-09-19,Coconut Water,5,123,139,667,0,0,544
2025-09-19,Dynamic Green,5,4,18,81,0,0,77
2025-09-19,Kelapa Ijo,5,74,78,436,0,0,362
2025-09-19,Sun Kissed,5,41,36,189,0,0,148
2025-09-19,Tropical Vibes,5,64,44,220,0,0,156
2025-09-19,Vanilla Shake,8,18,15,130,0,0,112
2025-09-20,Choco Blast,8,54,45,248,0,0,194
2025-09-20,Coconut Water,5,148,147,668,23,0,520
2025-09-20,Dynamic Green,5,19,4,69,12,0,50
2025-09-20,Kelapa Ijo,5,104,88,434,16,0,330
2025-09-20,Sun Kissed,5,61,49,197,0,0,136
2025-09-20,Tropical Vibes,5,38,76,230,2,0,192
2025-09-20,Vanilla Shake,8,28,21,133,0,0,105
2025-09-21,Choco Blast,8,63,64,258,0,0,195
2025-09-21,Coconut Water,5,148,177,697,0,0,549
2025-09-21,Dynamic Green,5,19,22,72,0,0,53
2025-09-21,Kelapa Ijo,5,122,124,454,0,0,332
2025-09-21,Sun Kissed,5,45,73,209,0,0,164
2025-09-21,Tropical Vibes,5,58,45,235,2,0,177
2025-09-21,Vanilla Shake,8,26,33,138,0,0,112
2025-09-22,Choco Blast,8,39,75,270,0,0,231
2025-09-22,Coconut Water,5,107,177,726,0,0,619
2025-09-22,Dynamic Green,5,6,22,75,0,0,69
2025-09-22,Kelapa Ijo,5,77,146,478,0,0,401
2025-09-22,Sun Kissed,5,38,54,218,0,0,180
2025-09-22,Tropical Vibes,5,40,69,246,0,0,206
2025-09-22,Vanilla Shake,8,12,31,143,0,0,131
2025-09-23,Choco Blast,8,20,46,277,0,0,257
2025-09-23,Coconut Water,5,102,128,747,0,0,645
2025-09-23,Dynamic Green,5,13,7,73,3,0,60
2025-09-23,Kelapa Ijo,5,94,92,493,0,0,399
2025-09-23,Sun Kissed,5,32,45,225,0,0,193
2025-09-23,Tropical Vibes,5,30,48,254,0,0,224
2025-09-23,Vanilla Shake,8,11,14,145,0,0,134
2025-09-24,Choco Blast,8,40,24,281,0,0,241
2025-09-24,Coconut Water,5,88,122,751,16,0,663
2025-09-24,Dynamic Green,5,19,15,70,5,0,51
2025-09-24,Kelapa Ijo,5,87,112,511,0,0,424
2025-09-24,Sun Kissed,5,29,38,231,0,0,202
2025-09-24,Tropical Vibes,5,27,36,260,0,0,233
2025-09-24,Vanilla Shake,8,14,13,147,0,0,133
2025-09-25,Choco Blast,8,65,48,289,0,0,224
2025-09-25,Coconut Water,5,168,105,709,59,0,541
2025-09-25,Dynamic Green,5,8,22,73,0,0,65
2025-09-25,Kelapa Ijo,5,102,104,528,0,0,426
2025-09-25,Sun Kissed,5,31,34,236,0,0,205
2025-09-25,Tropical Vibes,5,55,32,230,35,0,175
2025-09-25,Vanilla Shake,8,21,16,149,0,0,128
2025-09-26,Choco Blast,8,82,78,302,0,0,220
2025-09-26,Coconut Water,5,186,201,733,9,0,547
2025-09-26,Dynamic Green,5,32,9,74,0,0,42
2025-09-26,Kelapa Ijo,5,123,122,548,0,0,425
2025-09-26,Sun Kissed,5,71,37,208,34,0,137
2025-09-26,Tropical Vibes,5,78,66,241,0,0,163
2025-09-26,Vanilla Shake,8,36,25,153,0,0,117
2025-09-27,Choco Blast,8,65,98,318,0,0,253
2025-09-27,Coconut Water,5,243,223,770,0,0,527
2025-09-27,Dynamic Green,5,27,38,80,0,0,53
2025-09-27,Kelapa Ijo,5,138,147,572,0,0,434
2025-09-27,Sun Kissed,5,62,85,222,0,0,160
2025-09-27,Tropical Vibes,5,66,93,256,0,0,190
2025-09-27,Vanilla Shake,8,43,43,160,0,0,117
2025-09-28,Choco Blast,8,80,78,331,0,0,251
2025-09-28,Coconut Water,5,246,291,818,0,0,572
2025-09-28,Dynamic Green,5,27,32,85,0,0,58
2025-09-28,Kelapa Ijo,5,157,165,599,0,0,442
2025-09-28,Sun Kissed,5,59,74,234,0,0,175
2025-09-28,Tropical Vibes,5,73,79,269,0,0,196
2025-09-28,Vanilla Shake,8,44,51,168,0,0,124
2025-09-29,Choco Blast,8,45,96,347,0,0,302
2025-09-29,Coconut Water,5,179,295,867,0,0,688
2025-09-29,Dynamic Green,5,18,32,90,0,0,72
2025-09-29,Kelapa Ijo,5,80,188,630,0,0,550
2025-09-29,Sun Kissed,5,56,70,245,0,0,189
2025-09-29,Tropical Vibes,5,51,87,283,0,0,232
2025-09-29,Vanilla Shake,8,27,52,176,0,0,149
2025-09-30,Choco Blast,8,51,54,356,0,0,305
2025-09-30,Coconut Water,5,171,214,902,0,0,731
2025-09-30,Dynamic Green,5,15,21,93,0,0,78
2025-09-30,Kelapa Ijo,5,87,96,646,0,0,559
2025-09-30,Sun Kissed,5,64,67,256,0,0,192
2025-09-30,Tropical Vibes,5,43,61,293,0,0,250
2025-09-30,Vanilla Shake,8,25,32,181,0,0,156
2025-10-01,Choco Blast,8,36,61,366,0,0,330
2025-10-01,Coconut Water,5,167,205,936,0,0,769
2025-10-01,Dynamic Green,5,22,18,96,0,0,74
2025-10-01,Kelapa Ijo,5,112,104,663,0,0,551
2025-10-01,Sun Kissed,5,32,76,268,0,0,236
2025-10-01,Tropical Vibes,5,55,51,301,0,0,246
2025-10-01,Vanilla Shake,8,36,30,186,0,0,150
2025-10-02,Choco Blast,8,58,43,373,0,0,315
2025-10-02,Coconut Water,5,169,200,969,0,0,800
2025-10-02,Dynamic Green,5,23,26,100,0,0,77
2025-10-02,Kelapa Ijo,5,82,134,685,0,0,603
2025-10-02,Sun Kissed,5,40,38,274,0,0,234
2025-10-02,Tropical Vibes,5,69,66,312,0,0,243
2025-10-02,Vanilla Shake,8,30,43,193,0,0,163
2025-10-03,Choco Blast,8,73,69,384,0,0,311
2025-10-03,Coconut Water,5,194,202,1002,0,0,808
2025-10-03,Dynamic Green,5,29,27,104,0,0,75
2025-10-03,Kelapa Ijo,5,149,98,620,81,0,471
2025-10-03,Sun Kissed,5,71,48,282,0,0,211
2025-10-03,Tropical Vibes,5,58,82,325,0,0,267
2025-10-03,Vanilla Shake,8,34,36,199,0,0,165
2025-10-04,Choco Blast,8,78,87,398,0,0,320
2025-10-04,Coconut Water,5,236,232,1040,0,0,804
2025-10-04,Dynamic Green,5,26,34,109,0,0,83
2025-10-04,Kelapa Ijo,5,166,178,610,39,0,444
2025-10-04,Sun Kissed,5,57,85,296,0,0,239
2025-10-04,Tropical Vibes,5,64,69,329,7,0,265
2025-10-04,Vanilla Shake,8,42,40,205,0,0,163
2025-10-05,Choco Blast,8,96,93,413,0,0,317
2025-10-05,Coconut Water,5,278,283,1087,0,0,809
2025-10-05,Dynamic Green,5,38,31,114,0,0,76
2025-10-05,Kelapa Ijo,5,185,199,643,0,0,458
2025-10-05,Sun Kissed,5,73,68,307,0,0,234
2025-10-05,Tropical Vibes,5,93,76,341,0,0,248
2025-10-05,Vanilla Shake,8,47,50,213,0,0,166
2025-10-06,Choco Blast,8,33,115,432,0,0,399
2025-10-06,Coconut Water,5,116,333,1142,0,0,1026
2025-10-06,Dynamic Green,5,3,45,121,0,0,118
2025-10-06,Kelapa Ijo,5,59,222,680,0,0,621
2025-10-06,Sun Kissed,5,29,87,321,0,0,292
2025-10-06,Tropical Vibes,5,55,111,359,0,0,304
2025-10-06,Vanilla Shake,8,15,56,222,0,0,207
2025-10-07,Choco Blast,8,48,39,438,0,0,390
2025-10-07,Coconut Water,5,105,139,1165,0,0,1060
2025-10-07,Dynamic Green,5,12,3,121,0,0,109
2025-10-07,Kelapa Ijo,5,63,70,691,0,0,628
2025-10-07,Sun Kissed,5,16,34,322,4,0,306
2025-10-07,Tropical Vibes,5,26,66,370,0,0,344
2025-10-07,Vanilla Shake,8,10,18,225,0,0,215
2025-10-08,Choco Blast,8,30,57,447,0,0,417
2025-10-08,Coconut Water,5,99,126,1113,73,0,1014
2025-10-08,Dynamic Green,5,8,14,123,0,0,115
2025-10-08,Kelapa Ijo,5,68,75,703,0,0,635
2025-10-08,Sun Kissed,5,35,19,293,32,0,258
2025-10-08,Tropical Vibes,5,35,31,353,22,0,318
2025-10-08,Vanilla Shake,8,16,12,227,0,0,211
2025-10-09,Choco Blast,8,42,36,453,0,0,411
2025-10-09,Coconut Water,5,108,118,999,133,0,891
2025-10-09,Dynamic Green,5,9,9,102,22,0,93
2025-10-09,Kelapa Ijo,5,80,81,647,69,0,567
2025-10-09,Sun Kissed,5,23,42,250,50,0,227
2025-10-09,Tropical Vibes,5,29,42,326,34,0,297
2025-10-09,Vanilla Shake,8,30,19,230,0,0,200
2025-10-10,Choco Blast,8,38,50,461,0,0,423
2025-10-10,Coconut Water,5,126,129,845,175,0,719
2025-10-10,Dynamic Green,5,9,10,81,22,0,72
2025-10-10,Kelapa Ijo,5,90,96,544,119,0,454
2025-10-10,Sun Kissed,5,44,27,209,45,0,165
2025-10-10,Tropical Vibes,5,32,34,284,47,0,252
2025-10-10,Vanilla Shake,8,26,36,236,0,0,210
2025-10-11,Choco Blast,8,45,45,468,0,0,423
2025-10-11,Coconut Water,5,155,151,663,207,0,508
2025-10-11,Dynamic Green,5,14,10,46,36,0,32
2025-10-11,Kelapa Ijo,5,125,108,430,132,0,305
2025-10-11,Sun Kissed,5,40,52,174,43,0,134
2025-10-11,Tropical Vibes,5,62,38,211,79,0,149
2025-10-11,Vanilla Shake,8,21,31,241,0,0,220
2025-10-12,Choco Blast,8,62,54,477,0,0,415
2025-10-12,Coconut Water,5,170,186,694,0,0,524
2025-10-12,Dynamic Green,5,16,16,48,0,0,32
2025-10-12,Kelapa Ijo,5,127,150,455,0,0,328
2025-10-12,Sun Kissed,5,49,48,182,0,0,133
2025-10-12,Tropical Vibes,5,75,74,219,4,0,144
2025-10-12,Vanilla Shake,8,33,25,245,0,0,212
2025-10-13,Choco Blast,8,40,74,470,19,0,430
2025-10-13,Coconut Water,5,115,204,728,0,0,613
2025-10-13,Dynamic Green,5,18,19,51,0,0,33
2025-10-13,Kelapa Ijo,5,44,152,480,0,0,436
2025-10-13,Sun Kissed,5,37,58,191,0,0,154
2025-10-13,Tropical Vibes,5,43,90,234,0,0,191
2025-10-13,Vanilla Shake,8,16,39,236,15,0,220
2025-10-14,Choco Blast,8,28,48,403,75,0,375
2025-10-14,Coconut Water,5,115,138,751,0,0,636
2025-10-14,Dynamic Green,5,22,21,54,0,0,32
2025-10-14,Kelapa Ijo,5,70,52,488,0,0,418
2025-10-14,Sun Kissed,5,52,44,198,0,0,146
2025-10-14,Tropical Vibes,5,41,51,242,0,0,201
2025-10-14,Vanilla Shake,8,12,19,199,40,0,187
2025-10-15,Choco Blast,8,38,33,397,11,0,359
2025-10-15,Coconut Water,5,94,138,774,0,0,680
2025-10-15,Dynamic Green,5,14,26,58,0,0,44
2025-10-15,Kelapa Ijo,5,91,84,502,0,0,411
2025-10-15,Sun Kissed,5,42,62,208,0,0,166
2025-10-15,Tropical Vibes,5,28,49,250,0,0,222
2025-10-15,Vanilla Shake,8,15,14,195,6,0,180
2025-10-16,Choco Blast,8,39,45,385,19,0,346
2025-10-16,Coconut Water,5,93,112,778,14,0,685
2025-10-16,Dynamic Green,5,13,16,60,0,0,47
2025-10-16,Kelapa Ijo,5,80,109,520,0,0,440
2025-10-16,Sun Kissed,5,27,50,216,0,0,189
2025-10-16,Tropical Vibes,5,27,33,255,0,0,228
2025-10-16,Vanilla Shake,8,21,18,198,0,0,177
2025-10-17,Choco Blast,8,46,46,392,0,0,346
2025-10-17,Coconut Water,5,118,111,703,93,0,585
2025-10-17,Dynamic Green,5,20,15,62,0,0,42
2025-10-17,Kelapa Ijo,5,93,96,493,43,0,400
2025-10-17,Sun Kissed,5,41,32,221,0,0,180
2025-10-17,Tropical Vibes,5,32,32,255,5,0,223
2025-10-17,Vanilla Shake,8,21,25,202,0,0,181
2025-10-18,Choco Blast,8,58,55,400,1,0,342
2025-10-18,Coconut Water,5,162,141,640,86,0,478
2025-10-18,Dynamic Green,5,20,24,66,0,0,46
2025-10-18,Kelapa Ijo,5,101,111,452,59,0,351
2025-10-18,Sun Kissed,5,47,49,229,0,0,182
2025-10-18,Tropical Vibes,5,55,38,203,58,0,148
2025-10-18,Vanilla Shake,8,17,25,196,10,0,179
2025-10-19,Choco Blast,8,51,69,411,0,0,360
2025-10-19,Coconut Water,5,230,194,672,0,0,442
2025-10-19,Dynamic Green,5,22,24,70,0,0,48
2025-10-19,Kelapa Ijo,5,121,121,472,0,0,351
2025-10-19,Sun Kissed,5,63,56,238,0,0,175
2025-10-19,Tropical Vibes,5,43,66,214,0,0,171
2025-10-19,Vanilla Shake,8,40,20,185,14,0,145
2025-10-20,Choco Blast,8,51,61,421,0,0,370
2025-10-20,Coconut Water,5,114,276,718,0,0,604
2025-10-20,Dynamic Green,5,11,26,74,0,0,63
2025-10-20,Kelapa Ijo,5,65,145,496,0,0,431
2025-10-20,Sun Kissed,5,32,75,250,0,0,218
2025-10-20,Tropical Vibes,5,41,51,220,2,0,179
2025-10-20,Vanilla Shake,8,26,48,193,0,0,167
2025-10-21,Choco Blast,8,35,61,418,13,0,383
2025-10-21,Coconut Water,5,117,136,740,0,0,623
2025-10-21,Dynamic Green,5,9,13,76,0,0,67
2025-10-21,Kelapa Ijo,5,70,78,509,0,0,439
2025-10-21,Sun Kissed,5,35,38,250,6,0,215
2025-10-21,Tropical Vibes,5,31,49,228,0,0,197
2025-10-21,Vanilla Shake,8,26,31,198,0,0,172
2025-10-22,Choco Blast,8,36,42,412,13,0,376
2025-10-22,Coconut Water,5,105,140,763,0,0,658
2025-10-22,Dynamic Green,5,28,10,77,0,0,49
2025-10-22,Kelapa Ijo,5,95,84,523,0,0,428
2025-10-22,Sun Kissed,5,32,42,257,0,0,225
2025-10-22,Tropical Vibes,5,46,37,234,0,0,188
2025-10-22,Vanilla Shake,8,14,31,203,0,0,189
2025-10-23,Choco Blast,8,43,43,419,0,0,376
2025-10-23,Coconut Water,5,110,126,784,0,0,674
2025-10-23,Dynamic Green,5,16,33,82,0,0,66
2025-10-23,Kelapa Ijo,5,73,114,542,0,0,469
2025-10-23,Sun Kissed,5,22,38,249,14,0,227
2025-10-23,Tropical Vibes,5,28,55,243,0,0,215
2025-10-23,Vanilla Shake,8,27,16,205,0,0,178
2025-10-24,Choco Blast,8,46,51,427,0,0,381
2025-10-24,Coconut Water,5,153,132,806,0,0,653
2025-10-24,Dynamic Green,5,20,19,85,0,0,65
2025-10-24,Kelapa Ijo,5,83,87,508,48,0,425
2025-10-24,Sun Kissed,5,39,26,219,34,0,180
2025-10-24,Tropical Vibes,5,47,33,225,23,0,178
2025-10-24,Vanilla Shake,8,20,32,210,0,0,190
2025-10-25,Choco Blast,8,111,55,436,0,0,325
2025-10-25,Coconut Water,5,257,183,717,119,0,460
2025-10-25,Dynamic Green,5,34,24,89,0,0,55
2025-10-25,Kelapa Ijo,5,197,99,462,62,0,265
2025-10-25,Sun Kissed,5,89,46,190,36,0,101
2025-10-25,Tropical Vibes,5,72,56,230,4,0,158
2025-10-25,Vanilla Shake,8,51,24,214,0,0,163
2025-10-26,Choco Blast,8,104,133,458,0,0,354
2025-10-26,Coconut Water,5,246,308,768,0,0,522
2025-10-26,Dynamic Green,5,19,40,95,0,0,76
2025-10-26,Kelapa Ijo,5,217,236,501,0,0,284
2025-10-26,Sun Kissed,5,65,106,207,0,0,142
2025-10-26,Tropical Vibes,5,78,86,244,0,0,166
2025-10-26,Vanilla Shake,8,39,61,224,0,0,185
2025-10-27,Choco Blast,8,65,124,478,0,0,413
2025-10-27,Coconut Water,5,174,295,817,0,0,643
2025-10-27,Dynamic Green,5,17,22,98,0,0,81
2025-10-27,Kelapa Ijo,5,97,260,544,0,0,447
2025-10-27,Sun Kissed,5,49,78,220,0,0,171
2025-10-27,Tropical Vibes,5,63,93,259,0,0,196
2025-10-27,Vanilla Shake,8,26,46,231,0,0,205
2025-10-28,Choco Blast,8,60,78,491,0,0,431
2025-10-28,Coconut Water,5,158,208,851,0,0,693
2025-10-28,Dynamic Green,5,26,20,101,0,0,75
2025-10-28,Kelapa Ijo,5,100,116,563,0,0,463
2025-10-28,Sun Kissed,5,38,58,229,0,0,191
2025-10-28,Tropical Vibes,5,32,75,271,0,0,239
2025-10-28,Vanilla Shake,8,35,31,236,0,0,201
2025-10-29,Choco Blast,8,77,72,503,0,0,426
2025-10-29,Coconut Water,5,164,189,882,0,0,718
2025-10-29,Dynamic Green,5,21,31,106,0,0,85
2025-10-29,Kelapa Ijo,5,112,120,583,0,0,471
2025-10-29,Sun Kissed,5,31,45,236,0,0,205
2025-10-29,Tropical Vibes,5,46,38,277,0,0,231
2025-10-29,Vanilla Shake,8,27,42,243,0,0,216
2025-10-30,Choco Blast,8,54,92,518,0,0,464
2025-10-30,Coconut Water,5,123,196,914,0,0,791
2025-10-30,Dynamic Green,5,16,25,110,0,0,94
2025-10-30,Kelapa Ijo,5,93,134,605,0,0,512
2025-10-30,Sun Kissed,5,49,37,242,0,0,193
2025-10-30,Tropical Vibes,5,40,55,286,0,0,246
2025-10-30,Vanilla Shake,8,45,32,248,0,0,203
2025-10-31,Choco Blast,8,72,64,528,0,0,456
2025-10-31,Coconut Water,5,217,147,938,0,0,721
2025-10-31,Dynamic Green,5,20,19,113,0,0,93
2025-10-31,Kelapa Ijo,5,115,111,623,0,0,508
2025-10-31,Sun Kissed,5,54,58,251,0,0,197
2025-10-31,Tropical Vibes,5,49,48,294,0,0,245
2025-10-31,Vanilla Shake,8,25,54,257,0,0,232
2025-11-01,Choco Blast,8,86,86,542,0,0,456
2025-11-01,Coconut Water,5,235,260,981,0,0,746
2025-11-01,Dynamic Green,5,52,24,117,0,0,65
2025-11-01,Kelapa Ijo,5,161,138,619,27,0,458
2025-11-01,Sun Kissed,5,58,64,261,0,0,203
2025-11-01,Tropical Vibes,5,81,58,274,29,0,193
2025-11-01,Vanilla Shake,8,32,30,262,0,0,230
2025-11-02,Choco Blast,8,103,103,559,0,0,456
2025-11-02,Coconut Water,5,277,282,1028,0,0,751
2025-11-02,Dynamic Green,5,19,62,127,0,0,108
2025-11-02,Kelapa Ijo,5,184,193,651,0,0,467
2025-11-02,Sun Kissed,5,79,69,272,0,0,193
2025-11-02,Tropical Vibes,5,93,97,290,0,0,197
2025-11-02,Vanilla Shake,8,60,38,268,0,0,208
2025-11-03,Choco Blast,8,53,123,579,0,0,526
2025-11-03,Coconut Water,5,167,332,1083,0,0,916
2025-11-03,Dynamic Green,5,18,22,130,0,0,112
2025-11-03,Kelapa Ijo,5,94,220,687,0,0,593
2025-11-03,Sun Kissed,5,53,94,287,0,0,234
2025-11-03,Tropical Vibes,5,70,111,308,0,0,238
2025-11-03,Vanilla Shake,8,30,72,280,0,0,250
2025-11-04,Choco Blast,8,61,63,589,0,0,528
2025-11-04,Coconut Water,5,144,200,1116,0,0,972
2025-11-04,Dynamic Green,5,18,21,133,0,0,115
2025-11-04,Kelapa Ijo,5,76,112,705,0,0,629
2025-11-04,Sun Kissed,5,31,63,297,0,0,266
2025-11-04,Tropical Vibes,5,77,84,322,0,0,245
2025-11-04,Vanilla Shake,8,31,36,286,0,0,255
2025-11-05,Choco Blast,8,62,73,601,0,0,539
2025-11-05,Coconut Water,5,166,172,1144,0,0,978
2025-11-05,Dynamic Green,5,30,21,136,0,0,106
2025-11-05,Kelapa Ijo,5,116,91,720,0,0,604
2025-11-05,Sun Kissed,5,46,37,303,0,0,257
2025-11-05,Tropical Vibes,5,43,92,337,0,0,294
2025-11-05,Vanilla Shake,8,32,37,292,0,0,260
2025-11-06,Choco Blast,8,30,74,613,0,0,583
2025-11-06,Coconut Water,5,92,199,1177,0,0,1085
2025-11-06,Dynamic Green,5,17,36,142,0,0,125
2025-11-06,Kelapa Ijo,5,68,139,743,0,0,675
2025-11-06,Sun Kissed,5,31,55,312,0,0,281
2025-11-06,Tropical Vibes,5,42,51,345,0,0,303
2025-11-06,Vanilla Shake,8,17,38,298,0,0,281
2025-11-07,Choco Blast,8,57,36,619,0,0,562
2025-11-07,Coconut Water,5,121,110,1013,182,0,892
2025-11-07,Dynamic Green,5,10,20,120,25,0,110
2025-11-07,Kelapa Ijo,5,72,81,643,113,0,571
2025-11-07,Sun Kissed,5,22,37,286,32,0,264
