Date,Day_of_Week,is_weekend,pay_day,product_category,product_name,unit_cost,discount_rate,Selling_Price,Total_Units_Sold,Total_Revenue,Profit
2025-01-03,Friday,1,1,Juicy Juice,Sun Kissed,17000,0.0,40000.0,30,1200000.0,690000.0
2025-01-04,Saturday,1,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,144,2592000.0,1440000.0
2025-01-04,Saturday,1,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,113,2260000.0,1243000.0
2025-01-04,Saturday,1,1,Nut Milk,Choco Blast,19000,0.0,45000.0,61,2745000.0,1586000.0
2025-01-04,Saturday,1,1,Nut Milk,Vanilla Shake,19000,0.0,45000.0,24,1080000.0,624000.0
2025-01-04,Saturday,1,1,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,42,1680000.0,966000.0
2025-01-04,Saturday,1,1,Juicy Juice,Dynamic Green,17000,0.0,40000.0,20,800000.0,460000.0
2025-01-04,Saturday,1,1,Juicy Juice,Sun Kissed,17000,0.1,36000.0,42,1512000.0,798000.0
2025-01-05,Sunday,1,1,Freshy Coconut,Coconut Water,8000,0.1,16200.0,146,2365200.0,1197200.0
2025-01-05,Sunday,1,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,94,1880000.0,1034000.0
2025-01-05,Sunday,1,1,Nut Milk,Choco Blast,19000,0.0,45000.0,69,3105000.0,1794000.0
2025-01-05,Sunday,1,1,Nut Milk,Vanilla Shake,19000,0.1,40500.0,32,1296000.0,688000.0
2025-01-05,Sunday,1,1,Juicy Juice,Tropical Vibes,17000,0.2,32000.0,70,2240000.0,1050000.0
2025-01-05,Sunday,1,1,Juicy Juice,Dynamic Green,17000,0.1,36000.0,22,792000.0,418000.0
2025-01-05,Sunday,1,1,Juicy Juice,Sun Kissed,17000,0.2,32000.0,50,1600000.0,750000.0
2025-01-06,Monday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,66,1188000.0,660000.0
2025-01-06,Monday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,57,1026000.0,513000.0
2025-01-06,Monday,0,0,Nut Milk,Choco Blast,19000,0.0,45000.0,28,1260000.0,728000.0
2025-01-06,Monday,0,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,13,585000.0,338000.0
2025-01-06,Monday,0,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,18,720000.0,414000.0
2025-01-06,Monday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,11,440000.0,253000.0
2025-01-06,Monday,0,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,16,640000.0,368000.0
2025-01-07,Tuesday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,54,972000.0,540000.0
2025-01-07,Tuesday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,53,954000.0,477000.0
2025-01-07,Tuesday,0,0,Nut Milk,Choco Blast,19000,0.2,36000.0,38,1368000.0,646000.0
2025-01-07,Tuesday,0,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,12,540000.0,312000.0
2025-01-07,Tuesday,0,0,Juicy Juice,Tropical Vibes,17000,0.2,32000.0,27,864000.0,405000.0
2025-01-07,Tuesday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,8,320000.0,184000.0
2025-01-07,Tuesday,0,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,17,680000.0,391000.0
2025-01-08,Wednesday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,57,1026000.0,570000.0
2025-01-08,Wednesday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,51,918000.0,459000.0
2025-01-08,Wednesday,0,0,Nut Milk,Choco Blast,19000,0.2,36000.0,41,1476000.0,697000.0
2025-01-08,Wednesday,0,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,13,585000.0,338000.0
2025-01-08,Wednesday,0,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,21,840000.0,483000.0
2025-01-08,Wednesday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,9,360000.0,207000.0
2025-01-08,Wednesday,0,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,19,760000.0,437000.0
2025-01-09,Thursday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,54,972000.0,540000.0
2025-01-09,Thursday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,49,980000.0,539000.0
2025-01-09,Thursday,0,0,Nut Milk,Choco Blast,19000,0.1,40500.0,43,1741500.0,924500.0
2025-01-09,Thursday,0,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,16,720000.0,416000.0
2025-01-09,Thursday,0,0,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,28,1008000.0,532000.0
2025-01-09,Thursday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,9,360000.0,207000.0
2025-01-09,Thursday,0,0,Juicy Juice,Sun Kissed,17000,0.2,32000.0,29,928000.0,435000.0
2025-01-10,Friday,1,0,Freshy Coconut,Coconut Water,8000,0.1,16200.0,110,1782000.0,902000.0
2025-01-10,Friday,1,0,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,69,1242000.0,621000.0
2025-01-10,Friday,1,0,Nut Milk,Choco Blast,19000,0.2,36000.0,43,1548000.0,731000.0
2025-01-10,Friday,1,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,17,765000.0,442000.0
2025-01-10,Friday,1,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,26,1040000.0,598000.0
2025-01-10,Friday,1,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,14,560000.0,322000.0
2025-01-10,Friday,1,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,22,880000.0,506000.0
2025-01-11,Saturday,1,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,74,1332000.0,740000.0
2025-01-11,Saturday,1,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,71,1420000.0,781000.0
2025-01-11,Saturday,1,0,Nut Milk,Choco Blast,19000,0.0,45000.0,45,2025000.0,1170000.0
2025-01-11,Saturday,1,0,Nut Milk,Vanilla Shake,19000,0.2,36000.0,22,792000.0,374000.0
2025-01-11,Saturday,1,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,33,1320000.0,759000.0
2025-01-11,Saturday,1,0,Juicy Juice,Dynamic Green,17000,0.2,32000.0,23,736000.0,345000.0
2025-01-11,Saturday,1,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,29,1160000.0,667000.0
2025-01-12,Sunday,1,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,88,1584000.0,880000.0
2025-01-12,Sunday,1,0,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,88,1584000.0,792000.0
2025-01-12,Sunday,1,0,Nut Milk,Choco Blast,19000,0.0,45000.0,53,2385000.0,1378000.0
2025-01-12,Sunday,1,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,20,900000.0,520000.0
2025-01-12,Sunday,1,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,32,1280000.0,736000.0
2025-01-12,Sunday,1,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,16,640000.0,368000.0
2025-01-12,Sunday,1,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,25,1000000.0,575000.0
2025-01-13,Monday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,65,1170000.0,650000.0
2025-01-13,Monday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,43,860000.0,473000.0
2025-01-13,Monday,0,0,Nut Milk,Choco Blast,19000,0.0,45000.0,26,1170000.0,676000.0
2025-01-13,Monday,0,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,10,450000.0,260000.0
2025-01-13,Monday,0,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,19,760000.0,437000.0
2025-01-13,Monday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,11,440000.0,253000.0
2025-01-13,Monday,0,0,Juicy Juice,Sun Kissed,17000,0.1,36000.0,18,648000.0,342000.0
2025-01-14,Tuesday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,65,1170000.0,650000.0
2025-01-14,Tuesday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,40,800000.0,440000.0
2025-01-14,Tuesday,0,0,Nut Milk,Choco Blast,19000,0.0,45000.0,26,1170000.0,676000.0
2025-01-14,Tuesday,0,0,Nut Milk,Vanilla Shake,19000,0.1,40500.0,13,526500.0,279500.0
2025-01-14,Tuesday,0,0,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,22,792000.0,418000.0
2025-01-14,Tuesday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,10,400000.0,230000.0
2025-01-14,Tuesday,0,0,Juicy Juice,Sun Kissed,17000,0.2,32000.0,24,768000.0,360000.0
2025-01-15,Wednesday,0,0,Freshy Coconut,Coconut Water,8000,0.1,16200.0,67,1085400.0,549400.0
2025-01-15,Wednesday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.2,16000.0,53,848000.0,371000.0
2025-01-15,Wednesday,0,0,Nut Milk,Choco Blast,19000,0.0,45000.0,26,1170000.0,676000.0
2025-01-15,Wednesday,0,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,12,540000.0,312000.0
2025-01-15,Wednesday,0,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,17,680000.0,391000.0
2025-01-15,Wednesday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,10,400000.0,230000.0
2025-01-15,Wednesday,0,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,17,680000.0,391000.0
2025-01-16,Thursday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,77,1386000.0,770000.0
2025-01-16,Thursday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.2,16000.0,75,1200000.0,525000.0
2025-01-16,Thursday,0,0,Nut Milk,Choco Blast,19000,0.0,45000.0,36,1620000.0,936000.0
2025-01-16,Thursday,0,0,Nut Milk,Vanilla Shake,19000,0.1,40500.0,14,567000.0,301000.0
2025-01-16,Thursday,0,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,21,840000.0,483000.0
2025-01-16,Thursday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,9,360000.0,207000.0
2025-01-16,Thursday,0,0,Juicy Juice,Sun Kissed,17000,0.2,32000.0,28,896000.0,420000.0
2025-01-17,Friday,1,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,98,1764000.0,980000.0
2025-01-17,Friday,1,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,66,1320000.0,726000.0
2025-01-17,Friday,1,0,Nut Milk,Choco Blast,19000,0.1,40500.0,43,1741500.0,924500.0
2025-01-17,Friday,1,0,Nut Milk,Vanilla Shake,19000,0.2,36000.0,22,792000.0,374000.0
2025-01-17,Friday,1,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,21,840000.0,483000.0
2025-01-17,Friday,1,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,12,480000.0,276000.0
2025-01-17,Friday,1,0,Juicy Juice,Sun Kissed,17000,0.1,36000.0,30,1080000.0,570000.0
2025-01-18,Saturday,1,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,101,1818000.0,1010000.0
2025-01-18,Saturday,1,0,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,76,1368000.0,684000.0
2025-01-18,Saturday,1,0,Nut Milk,Choco Blast,19000,0.2,36000.0,56,2016000.0,952000.0
2025-01-18,Saturday,1,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,18,810000.0,468000.0
2025-01-18,Saturday,1,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,28,1120000.0,644000.0
2025-01-18,Saturday,1,0,Juicy Juice,Dynamic Green,17000,0.1,36000.0,19,684000.0,361000.0
2025-01-18,Saturday,1,0,Juicy Juice,Sun Kissed,17000,0.1,36000.0,33,1188000.0,627000.0
2025-01-19,Sunday,1,0,Freshy Coconut,Coconut Water,8000,0.1,16200.0,105,1701000.0,861000.0
2025-01-19,Sunday,1,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,66,1320000.0,726000.0
2025-01-19,Sunday,1,0,Nut Milk,Choco Blast,19000,0.0,45000.0,48,2160000.0,1248000.0
2025-01-19,Sunday,1,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,19,855000.0,494000.0
2025-01-19,Sunday,1,0,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,42,1512000.0,798000.0
2025-01-19,Sunday,1,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,16,640000.0,368000.0
2025-01-19,Sunday,1,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,31,1240000.0,713000.0
2025-01-20,Monday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,67,1206000.0,670000.0
2025-01-20,Monday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,41,820000.0,451000.0
2025-01-20,Monday,0,0,Nut Milk,Choco Blast,19000,0.0,45000.0,28,1260000.0,728000.0
2025-01-20,Monday,0,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,10,450000.0,260000.0
2025-01-20,Monday,0,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,21,840000.0,483000.0
2025-01-20,Monday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,9,360000.0,207000.0
2025-01-20,Monday,0,0,Juicy Juice,Sun Kissed,17000,0.1,36000.0,23,828000.0,437000.0
2025-01-21,Tuesday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,65,1170000.0,650000.0
2025-01-21,Tuesday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,41,820000.0,451000.0
2025-01-21,Tuesday,0,0,Nut Milk,Choco Blast,19000,0.0,45000.0,29,1305000.0,754000.0
2025-01-21,Tuesday,0,0,Nut Milk,Vanilla Shake,19000,0.1,40500.0,15,607500.0,322500.0
2025-01-21,Tuesday,0,0,Juicy Juice,Tropical Vibes,17000,0.2,32000.0,19,608000.0,285000.0
2025-01-21,Tuesday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,9,360000.0,207000.0
2025-01-21,Tuesday,0,0,Juicy Juice,Sun Kissed,17000,0.2,32000.0,26,832000.0,390000.0
2025-01-22,Wednesday,0,0,Freshy Coconut,Coconut Water,8000,0.1,16200.0,67,1085400.0,549400.0
2025-01-22,Wednesday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,51,918000.0,459000.0
2025-01-22,Wednesday,0,0,Nut Milk,Choco Blast,19000,0.1,40500.0,38,1539000.0,817000.0
2025-01-22,Wednesday,0,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,12,540000.0,312000.0
2025-01-22,Wednesday,0,0,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,19,684000.0,361000.0
2025-01-22,Wednesday,0,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,8,320000.0,184000.0
2025-01-22,Wednesday,0,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,16,640000.0,368000.0
2025-01-23,Thursday,0,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,82,1476000.0,820000.0
2025-01-23,Thursday,0,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,56,1120000.0,616000.0
2025-01-23,Thursday,0,0,Nut Milk,Choco Blast,19000,0.0,45000.0,31,1395000.0,806000.0
2025-01-23,Thursday,0,0,Nut Milk,Vanilla Shake,19000,0.0,45000.0,12,540000.0,312000.0
2025-01-23,Thursday,0,0,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,21,840000.0,483000.0
2025-01-23,Thursday,0,0,Juicy Juice,Dynamic Green,17000,0.2,32000.0,15,480000.0,225000.0
2025-01-23,Thursday,0,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,22,880000.0,506000.0
2025-01-24,Friday,1,0,Freshy Coconut,Coconut Water,8000,0.1,16200.0,86,1393200.0,705200.0
2025-01-24,Friday,1,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,63,1260000.0,693000.0
2025-01-24,Friday,1,0,Nut Milk,Choco Blast,19000,0.2,36000.0,51,1836000.0,867000.0
2025-01-24,Friday,1,0,Nut Milk,Vanilla Shake,19000,0.1,40500.0,18,729000.0,387000.0
2025-01-24,Friday,1,0,Juicy Juice,Tropical Vibes,17000,0.2,32000.0,40,1280000.0,600000.0
2025-01-24,Friday,1,0,Juicy Juice,Dynamic Green,17000,0.0,40000.0,13,520000.0,299000.0
2025-01-24,Friday,1,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,24,960000.0,552000.0
2025-01-25,Saturday,1,0,Freshy Coconut,Coconut Water,8000,0.0,18000.0,102,1836000.0,1020000.0
2025-01-25,Saturday,1,0,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,65,1300000.0,715000.0
2025-01-25,Saturday,1,0,Nut Milk,Choco Blast,19000,0.0,45000.0,48,2160000.0,1248000.0
2025-01-25,Saturday,1,0,Nut Milk,Vanilla Shake,19000,0.1,40500.0,19,769500.0,408500.0
2025-01-25,Saturday,1,0,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,41,1476000.0,779000.0
2025-01-25,Saturday,1,0,Juicy Juice,Dynamic Green,17000,0.2,32000.0,20,640000.0,300000.0
2025-01-25,Saturday,1,0,Juicy Juice,Sun Kissed,17000,0.0,40000.0,24,960000.0,552000.0
2025-01-26,Sunday,1,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,141,2538000.0,1410000.0
2025-01-26,Sunday,1,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,104,2080000.0,1144000.0
2025-01-26,Sunday,1,1,Nut Milk,Choco Blast,19000,0.0,45000.0,74,3330000.0,1924000.0
2025-01-26,Sunday,1,1,Nut Milk,Vanilla Shake,19000,0.2,36000.0,37,1332000.0,629000.0
2025-01-26,Sunday,1,1,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,58,2088000.0,1102000.0
2025-01-26,Sunday,1,1,Juicy Juice,Dynamic Green,17000,0.0,40000.0,23,920000.0,529000.0
2025-01-26,Sunday,1,1,Juicy Juice,Sun Kissed,17000,0.0,40000.0,42,1680000.0,966000.0
2025-01-27,Monday,0,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,103,1854000.0,1030000.0
2025-01-27,Monday,0,1,Freshy Coconut,Kelapa Ijo,9000,0.2,16000.0,102,1632000.0,714000.0
2025-01-27,Monday,0,1,Nut Milk,Choco Blast,19000,0.0,45000.0,46,2070000.0,1196000.0
2025-01-27,Monday,0,1,Nut Milk,Vanilla Shake,19000,0.1,40500.0,22,891000.0,473000.0
2025-01-27,Monday,0,1,Juicy Juice,Tropical Vibes,17000,0.2,32000.0,39,1248000.0,585000.0
2025-01-27,Monday,0,1,Juicy Juice,Dynamic Green,17000,0.1,36000.0,16,576000.0,304000.0
2025-01-27,Monday,0,1,Juicy Juice,Sun Kissed,17000,0.1,36000.0,33,1188000.0,627000.0
2025-01-28,Tuesday,0,1,Freshy Coconut,Coconut Water,8000,0.2,14400.0,118,1699200.0,755200.0
2025-01-28,Tuesday,0,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,61,1220000.0,671000.0
2025-01-28,Tuesday,0,1,Nut Milk,Choco Blast,19000,0.0,45000.0,37,1665000.0,962000.0
2025-01-28,Tuesday,0,1,Nut Milk,Vanilla Shake,19000,0.0,45000.0,15,675000.0,390000.0
2025-01-28,Tuesday,0,1,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,29,1044000.0,551000.0
2025-01-28,Tuesday,0,1,Juicy Juice,Dynamic Green,17000,0.2,32000.0,19,608000.0,285000.0
2025-01-28,Tuesday,0,1,Juicy Juice,Sun Kissed,17000,0.0,40000.0,24,960000.0,552000.0
2025-01-29,Wednesday,0,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,82,1476000.0,820000.0
2025-01-29,Wednesday,0,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,64,1280000.0,704000.0
2025-01-29,Wednesday,0,1,Nut Milk,Choco Blast,19000,0.0,45000.0,40,1800000.0,1040000.0
2025-01-29,Wednesday,0,1,Nut Milk,Vanilla Shake,19000,0.0,45000.0,13,585000.0,338000.0
2025-01-29,Wednesday,0,1,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,34,1224000.0,646000.0
2025-01-29,Wednesday,0,1,Juicy Juice,Dynamic Green,17000,0.0,40000.0,12,480000.0,276000.0
2025-01-29,Wednesday,0,1,Juicy Juice,Sun Kissed,17000,0.0,40000.0,22,880000.0,506000.0
2025-01-30,Thursday,0,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,107,1926000.0,1070000.0
2025-01-30,Thursday,0,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,75,1500000.0,825000.0
2025-01-30,Thursday,0,1,Nut Milk,Choco Blast,19000,0.0,45000.0,43,1935000.0,1118000.0
2025-01-30,Thursday,0,1,Nut Milk,Vanilla Shake,19000,0.2,36000.0,30,1080000.0,510000.0
2025-01-30,Thursday,0,1,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,36,1296000.0,684000.0
2025-01-30,Thursday,0,1,Juicy Juice,Dynamic Green,17000,0.2,32000.0,23,736000.0,345000.0
2025-01-30,Thursday,0,1,Juicy Juice,Sun Kissed,17000,0.0,40000.0,22,880000.0,506000.0
2025-01-31,Friday,1,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,140,2520000.0,1400000.0
2025-01-31,Friday,1,1,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,95,1710000.0,855000.0
2025-01-31,Friday,1,1,Nut Milk,Choco Blast,19000,0.0,45000.0,51,2295000.0,1326000.0
2025-01-31,Friday,1,1,Nut Milk,Vanilla Shake,19000,0.1,40500.0,27,1093500.0,580500.0
2025-01-31,Friday,1,1,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,35,1260000.0,665000.0
2025-01-31,Friday,1,1,Juicy Juice,Dynamic Green,17000,0.0,40000.0,18,720000.0,414000.0
2025-01-31,Friday,1,1,Juicy Juice,Sun Kissed,17000,0.0,40000.0,34,1360000.0,782000.0
2025-02-01,Saturday,1,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,118,2124000.0,1180000.0
2025-02-01,Saturday,1,1,Freshy Coconut,Kelapa Ijo,9000,0.1,18000.0,120,2160000.0,1080000.0
2025-02-01,Saturday,1,1,Nut Milk,Choco Blast,19000,0.0,45000.0,59,2655000.0,1534000.0
2025-02-01,Saturday,1,1,Nut Milk,Vanilla Shake,19000,0.2,36000.0,34,1224000.0,578000.0
2025-02-01,Saturday,1,1,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,44,1760000.0,1012000.0
2025-02-01,Saturday,1,1,Juicy Juice,Dynamic Green,17000,0.0,40000.0,24,960000.0,552000.0
2025-02-01,Saturday,1,1,Juicy Juice,Sun Kissed,17000,0.2,32000.0,46,1472000.0,690000.0
2025-02-02,Sunday,1,1,Freshy Coconut,Coconut Water,8000,0.1,16200.0,182,2948400.0,1492400.0
2025-02-02,Sunday,1,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,92,1840000.0,1012000.0
2025-02-02,Sunday,1,1,Nut Milk,Choco Blast,19000,0.0,45000.0,70,3150000.0,1820000.0
2025-02-02,Sunday,1,1,Nut Milk,Vanilla Shake,19000,0.2,36000.0,41,1476000.0,697000.0
2025-02-02,Sunday,1,1,Juicy Juice,Tropical Vibes,17000,0.1,36000.0,55,1980000.0,1045000.0
2025-02-02,Sunday,1,1,Juicy Juice,Dynamic Green,17000,0.1,36000.0,26,936000.0,494000.0
2025-02-02,Sunday,1,1,Juicy Juice,Sun Kissed,17000,0.0,40000.0,41,1640000.0,943000.0
2025-02-03,Monday,0,1,Freshy Coconut,Coconut Water,8000,0.1,16200.0,100,1620000.0,820000.0
2025-02-03,Monday,0,1,Freshy Coconut,Kelapa Ijo,9000,0.2,16000.0,102,1632000.0,714000.0
2025-02-03,Monday,0,1,Nut Milk,Choco Blast,19000,0.0,45000.0,41,1845000.0,1066000.0
2025-02-03,Monday,0,1,Nut Milk,Vanilla Shake,19000,0.0,45000.0,18,810000.0,468000.0
2025-02-03,Monday,0,1,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,22,880000.0,506000.0
2025-02-03,Monday,0,1,Juicy Juice,Dynamic Green,17000,0.0,40000.0,12,480000.0,276000.0
2025-02-03,Monday,0,1,Juicy Juice,Sun Kissed,17000,0.0,40000.0,26,1040000.0,598000.0
2025-02-04,Tuesday,0,1,Freshy Coconut,Coconut Water,8000,0.0,18000.0,83,1494000.0,830000.0
2025-02-04,Tuesday,0,1,Freshy Coconut,Kelapa Ijo,9000,0.0,20000.0,65,1300000.0,715000.0
2025-02-04,Tuesday,0,1,Nut Milk,Choco Blast,19000,0.2,36000.0,57,2052000.0,969000.0
2025-02-04,Tuesday,0,1,Nut Milk,Vanilla Shake,19000,0.0,45000.0,12,540000.0,312000.0
2025-02-04,Tuesday,0,1,Juicy Juice,Tropical Vibes,17000,0.0,40000.0,28,1120000.0,644000.0
