Transaction_ID,Date,Month,Day,Is_Weekend,Is_Payday,Channel,Sales_Type,SKU,Product_Name,Quantity,Unit_Price,Subtotal,Discount_Rate,Revenue,Unit_Cost,Total_Cost
TRX-3678638,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-3678638,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,DG001,Dynamic Green,1,40000,40000,0.0,40000.0,17000,17000
TRX-3678638,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,SK001,Sun Kissed,1,40000,40000,0.2,32000.0,17000,17000
TRX-8090293,2025-09-01,September,Monday,No,Yes,Shopee,Online,TV001,Tropical Vibes,3,40000,120000,0.0,120000.0,17000,51000
TRX-8090293,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-6708456,2025-09-01,September,Monday,No,Yes,Store C,Offline,TV001,Tropical Vibes,1,40000,40000,0.0,40000.0,17000,17000
TRX-6708456,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-5661907,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,7,18000,126000,0.2,100800.0,8000,56000
TRX-3608513,2025-09-01,September,Monday,No,Yes,Store B,Offline,CW001,Coconut Water,1,18000,18000,0.2,14400.0,8000,8000
TRX-3608513,2025-09-01,September,Monday,No,Yes,Store B,Offline,TV001,Tropical Vibes,3,40000,120000,0.2,96000.0,17000,51000
TRX-3608513,2025-09-01,September,Monday,No,Yes,Store B,Offline,VS001,Vanilla Shake,3,45000,135000,0.2,108000.0,19000,57000
TRX-4612365,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.2,16000.0,9000,9000
TRX-4612365,2025-09-01,September,Monday,No,Yes,Store C,Offline,VS001,Vanilla Shake,1,45000,45000,0.0,45000.0,19000,19000
TRX-6647119,2025-09-01,September,Monday,No,Yes,Store A,Offline,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-6647119,2025-09-01,September,Monday,No,Yes,Store A,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-6647119,2025-09-01,September,Monday,No,Yes,Store A,Offline,TV001,Tropical Vibes,1,40000,40000,0.1,36000.0,17000,17000
TRX-6647119,2025-09-01,September,Monday,No,Yes,Store A,Offline,SK001,Sun Kissed,5,40000,200000,0.0,200000.0,17000,85000
TRX-2714803,2025-09-01,September,Monday,No,Yes,Store A,Offline,KI001,Kelapa Ijo,1,20000,20000,0.2,16000.0,9000,9000
TRX-2714803,2025-09-01,September,Monday,No,Yes,Store A,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-2714803,2025-09-01,September,Monday,No,Yes,Store A,Offline,TV001,Tropical Vibes,1,40000,40000,0.1,36000.0,17000,17000
TRX-2556017,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,3,18000,54000,0.2,43200.0,8000,24000
TRX-7374122,2025-09-01,September,Monday,No,Yes,Store C,Offline,CB001,Choco Blast,5,45000,225000,0.0,225000.0,19000,95000
TRX-2622631,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-7022674,2025-09-01,September,Monday,No,Yes,Store A,Offline,SK001,Sun Kissed,1,40000,40000,0.2,32000.0,17000,17000
TRX-6770619,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-6770619,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-5437923,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-5437923,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-1728977,2025-09-01,September,Monday,No,Yes,Store B,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-8707870,2025-09-01,September,Monday,No,Yes,Store C,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-9996414,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,DG001,Dynamic Green,2,40000,80000,0.1,72000.0,17000,34000
TRX-3094235,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-7350753,2025-09-01,September,Monday,No,Yes,Store C,Offline,DG001,Dynamic Green,2,40000,80000,0.0,80000.0,17000,34000
TRX-2322047,2025-09-01,September,Monday,No,Yes,Shopee,Online,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-5918715,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,2,18000,36000,0.0,36000.0,8000,16000
TRX-5918715,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-7067228,2025-09-01,September,Monday,No,Yes,Shopee,Online,CB001,Choco Blast,3,45000,135000,0.0,135000.0,19000,57000
TRX-4226067,2025-09-01,September,Monday,No,Yes,Store A,Offline,CW001,Coconut Water,3,18000,54000,0.0,54000.0,8000,24000
TRX-2166941,2025-09-01,September,Monday,No,Yes,Store B,Offline,CB001,Choco Blast,2,45000,90000,0.0,90000.0,19000,38000
TRX-1768805,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-1768805,2025-09-01,September,Monday,No,Yes,Shopee,Online,CB001,Choco Blast,5,45000,225000,0.0,225000.0,19000,95000
TRX-4823498,2025-09-01,September,Monday,No,Yes,Shopee,Online,TV001,Tropical Vibes,1,40000,40000,0.1,36000.0,17000,17000
TRX-5855124,2025-09-01,September,Monday,No,Yes,Store A,Offline,CW001,Coconut Water,1,18000,18000,0.2,14400.0,8000,8000
TRX-5855124,2025-09-01,September,Monday,No,Yes,Store A,Offline,VS001,Vanilla Shake,3,45000,135000,0.0,135000.0,19000,57000
TRX-2338687,2025-09-01,September,Monday,No,Yes,Store A,Offline,CB001,Choco Blast,4,45000,180000,0.1,162000.0,19000,76000
TRX-4905582,2025-09-01,September,Monday,No,Yes,Store C,Offline,CB001,Choco Blast,2,45000,90000,0.0,90000.0,19000,38000
TRX-4905582,2025-09-01,September,Monday,No,Yes,Store C,Offline,TV001,Tropical Vibes,1,40000,40000,0.1,36000.0,17000,17000
TRX-4905582,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-2694522,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-7377459,2025-09-01,September,Monday,No,Yes,Store B,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-5663623,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-8606962,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.2,16000.0,9000,9000
TRX-7120868,2025-09-01,September,Monday,No,Yes,Store A,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-7120868,2025-09-01,September,Monday,No,Yes,Store A,Offline,TV001,Tropical Vibes,2,40000,80000,0.0,80000.0,17000,34000
TRX-3728882,2025-09-01,September,Monday,No,Yes,Store B,Offline,CB001,Choco Blast,1,45000,45000,0.1,40500.0,19000,19000
TRX-7210606,2025-09-01,September,Monday,No,Yes,Store A,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-6960453,2025-09-01,September,Monday,No,Yes,Shopee,Online,VS001,Vanilla Shake,1,45000,45000,0.1,40500.0,19000,19000
TRX-4514944,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-4514944,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-5479144,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,7,18000,126000,0.2,100800.0,8000,56000
TRX-5479144,2025-09-01,September,Monday,No,Yes,Store C,Offline,VS001,Vanilla Shake,2,45000,90000,0.0,90000.0,19000,38000
TRX-2197935,2025-09-01,September,Monday,No,Yes,Store B,Offline,DG001,Dynamic Green,2,40000,80000,0.1,72000.0,17000,34000
TRX-2197935,2025-09-01,September,Monday,No,Yes,Store B,Offline,CB001,Choco Blast,1,45000,45000,0.1,40500.0,19000,19000
TRX-3871230,2025-09-01,September,Monday,No,Yes,Shopee,Online,SK001,Sun Kissed,1,40000,40000,0.0,40000.0,17000,17000
TRX-9961380,2025-09-01,September,Monday,No,Yes,Shopee,Online,SK001,Sun Kissed,1,40000,40000,0.2,32000.0,17000,17000
TRX-9961380,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,2,18000,36000,0.0,36000.0,8000,16000
TRX-5107245,2025-09-01,September,Monday,No,Yes,Store A,Offline,TV001,Tropical Vibes,1,40000,40000,0.0,40000.0,17000,17000
TRX-3741438,2025-09-01,September,Monday,No,Yes,Store A,Offline,KI001,Kelapa Ijo,2,20000,40000,0.0,40000.0,9000,18000
TRX-8755439,2025-09-01,September,Monday,No,Yes,Store C,Offline,TV001,Tropical Vibes,1,40000,40000,0.0,40000.0,17000,17000
TRX-8755439,2025-09-01,September,Monday,No,Yes,Store C,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-8755439,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,2,18000,36000,0.0,36000.0,8000,16000
TRX-7366205,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,4,20000,80000,0.2,64000.0,9000,36000
TRX-7366205,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-5528972,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,5,18000,90000,0.0,90000.0,8000,40000
TRX-4684531,2025-09-01,September,Monday,No,Yes,Store C,Offline,TV001,Tropical Vibes,4,40000,160000,0.2,128000.0,17000,68000
TRX-6440561,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-1938483,2025-09-01,September,Monday,No,Yes,Store B,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-4842788,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-1538552,2025-09-01,September,Monday,No,Yes,Store B,Offline,CW001,Coconut Water,3,18000,54000,0.0,54000.0,8000,24000
TRX-6292423,2025-09-01,September,Monday,No,Yes,Store A,Offline,VS001,Vanilla Shake,1,45000,45000,0.2,36000.0,19000,19000
TRX-6292423,2025-09-01,September,Monday,No,Yes,Store A,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-7730428,2025-09-01,September,Monday,No,Yes,Store C,Offline,DG001,Dynamic Green,2,40000,80000,0.0,80000.0,17000,34000
TRX-5491946,2025-09-01,September,Monday,No,Yes,Store A,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-5491946,2025-09-01,September,Monday,No,Yes,Store A,Offline,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-5491946,2025-09-01,September,Monday,No,Yes,Store A,Offline,KI001,Kelapa Ijo,4,20000,80000,0.1,72000.0,9000,36000
TRX-2110460,2025-09-01,September,Monday,No,Yes,Store B,Offline,TV001,Tropical Vibes,1,40000,40000,0.0,40000.0,17000,17000
TRX-2110460,2025-09-01,September,Monday,No,Yes,Store B,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-4539704,2025-09-01,September,Monday,No,Yes,Shopee,Online,TV001,Tropical Vibes,1,40000,40000,0.0,40000.0,17000,17000
TRX-4539704,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-4539704,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,6,20000,120000,0.1,108000.0,9000,54000
TRX-6279418,2025-09-01,September,Monday,No,Yes,Shopee,Online,CB001,Choco Blast,2,45000,90000,0.0,90000.0,19000,38000
TRX-6279418,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,2,20000,40000,0.1,36000.0,9000,18000
TRX-4567281,2025-09-01,September,Monday,No,Yes,Store C,Offline,DG001,Dynamic Green,1,40000,40000,0.1,36000.0,17000,17000
TRX-4567281,2025-09-01,September,Monday,No,Yes,Store C,Offline,CB001,Choco Blast,2,45000,90000,0.0,90000.0,19000,38000
TRX-9375710,2025-09-01,September,Monday,No,Yes,Store B,Offline,VS001,Vanilla Shake,1,45000,45000,0.0,45000.0,19000,19000
TRX-7637601,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-7637601,2025-09-01,September,Monday,No,Yes,Store C,Offline,SK001,Sun Kissed,1,40000,40000,0.0,40000.0,17000,17000
TRX-8698256,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-3396987,2025-09-01,September,Monday,No,Yes,Store A,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-3396987,2025-09-01,September,Monday,No,Yes,Store A,Offline,CB001,Choco Blast,2,45000,90000,0.0,90000.0,19000,38000
TRX-5443951,2025-09-01,September,Monday,No,Yes,Store B,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-5443951,2025-09-01,September,Monday,No,Yes,Store B,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-5443951,2025-09-01,September,Monday,No,Yes,Store B,Offline,SK001,Sun Kissed,3,40000,120000,0.0,120000.0,17000,51000
TRX-5443951,2025-09-01,September,Monday,No,Yes,Store B,Offline,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-3342608,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-5137722,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.2,14400.0,8000,8000
TRX-5408072,2025-09-01,September,Monday,No,Yes,Store B,Offline,KI001,Kelapa Ijo,2,20000,40000,0.0,40000.0,9000,18000
TRX-5408072,2025-09-01,September,Monday,No,Yes,Store B,Offline,VS001,Vanilla Shake,1,45000,45000,0.0,45000.0,19000,19000
TRX-5408072,2025-09-01,September,Monday,No,Yes,Store B,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-5408072,2025-09-01,September,Monday,No,Yes,Store B,Offline,TV001,Tropical Vibes,2,40000,80000,0.1,72000.0,17000,34000
TRX-8187926,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-8187926,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-8187926,2025-09-01,September,Monday,No,Yes,Shopee,Online,SK001,Sun Kissed,1,40000,40000,0.0,40000.0,17000,17000
TRX-7700828,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-7073292,2025-09-01,September,Monday,No,Yes,Store B,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-7073292,2025-09-01,September,Monday,No,Yes,Store B,Offline,KI001,Kelapa Ijo,1,20000,20000,0.2,16000.0,9000,9000
TRX-4679591,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,KI001,Kelapa Ijo,1,20000,20000,0.2,16000.0,9000,9000
TRX-3320821,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,1,20000,20000,0.2,16000.0,9000,9000
TRX-9548432,2025-09-01,September,Monday,No,Yes,Store C,Offline,SK001,Sun Kissed,1,40000,40000,0.0,40000.0,17000,17000
TRX-9279821,2025-09-01,September,Monday,No,Yes,Store C,Offline,SK001,Sun Kissed,1,40000,40000,0.2,32000.0,17000,17000
TRX-9279821,2025-09-01,September,Monday,No,Yes,Store C,Offline,CB001,Choco Blast,2,45000,90000,0.1,81000.0,19000,38000
TRX-9279821,2025-09-01,September,Monday,No,Yes,Store C,Offline,VS001,Vanilla Shake,1,45000,45000,0.1,40500.0,19000,19000
TRX-9279821,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,2,18000,36000,0.0,36000.0,8000,16000
TRX-2525206,2025-09-01,September,Monday,No,Yes,Shopee,Online,TV001,Tropical Vibes,1,40000,40000,0.1,36000.0,17000,17000
TRX-2525206,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,3,18000,54000,0.0,54000.0,8000,24000
TRX-2525206,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-2525206,2025-09-01,September,Monday,No,Yes,Shopee,Online,VS001,Vanilla Shake,1,45000,45000,0.0,45000.0,19000,19000
TRX-1790481,2025-09-01,September,Monday,No,Yes,Store B,Offline,CW001,Coconut Water,1,18000,18000,0.1,16200.0,8000,8000
TRX-2839607,2025-09-01,September,Monday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-3564251,2025-09-01,September,Monday,No,Yes,Store C,Offline,SK001,Sun Kissed,1,40000,40000,0.1,36000.0,17000,17000
TRX-3684052,2025-09-01,September,Monday,No,Yes,Store C,Offline,CW001,Coconut Water,2,18000,36000,0.0,36000.0,8000,16000
TRX-3684052,2025-09-01,September,Monday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,2,20000,40000,0.1,36000.0,9000,18000
TRX-3684052,2025-09-01,September,Monday,No,Yes,Store C,Offline,VS001,Vanilla Shake,2,45000,90000,0.1,81000.0,19000,38000
TRX-3684052,2025-09-01,September,Monday,No,Yes,Store C,Offline,TV001,Tropical Vibes,1,40000,40000,0.0,40000.0,17000,17000
TRX-8082668,2025-09-01,September,Monday,No,Yes,Store B,Offline,CW001,Coconut Water,4,18000,72000,0.1,64800.0,8000,32000
TRX-8082668,2025-09-01,September,Monday,No,Yes,Store B,Offline,CB001,Choco Blast,1,45000,45000,0.1,40500.0,19000,19000
TRX-8082668,2025-09-01,September,Monday,No,Yes,Store B,Offline,TV001,Tropical Vibes,1,40000,40000,0.0,40000.0,17000,17000
TRX-2065818,2025-09-01,September,Monday,No,Yes,WhatsApp,Online,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-7455324,2025-09-01,September,Monday,No,Yes,Store B,Offline,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-7402509,2025-09-01,September,Monday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,3,20000,60000,0.2,48000.0,9000,27000
TRX-7402509,2025-09-01,September,Monday,No,Yes,Shopee,Online,TV001,Tropical Vibes,2,40000,80000,0.1,72000.0,17000,34000
TRX-7402509,2025-09-01,September,Monday,No,Yes,Shopee,Online,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-8852574,2025-09-01,September,Monday,No,Yes,Store C,Offline,TV001,Tropical Vibes,1,40000,40000,0.0,40000.0,17000,17000
TRX-9877065,2025-09-02,September,Tuesday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-5218028,2025-09-02,September,Tuesday,No,Yes,Shopee,Online,TV001,Tropical Vibes,1,40000,40000,0.1,36000.0,17000,17000
TRX-5218028,2025-09-02,September,Tuesday,No,Yes,Shopee,Online,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-1192619,2025-09-02,September,Tuesday,No,Yes,Shopee,Online,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-1192619,2025-09-02,September,Tuesday,No,Yes,Shopee,Online,KI001,Kelapa Ijo,1,20000,20000,0.0,20000.0,9000,9000
TRX-1192619,2025-09-02,September,Tuesday,No,Yes,Shopee,Online,DG001,Dynamic Green,2,40000,80000,0.0,80000.0,17000,34000
TRX-2921859,2025-09-02,September,Tuesday,No,Yes,Store C,Offline,CB001,Choco Blast,1,45000,45000,0.1,40500.0,19000,19000
TRX-2921859,2025-09-02,September,Tuesday,No,Yes,Store C,Offline,VS001,Vanilla Shake,1,45000,45000,0.0,45000.0,19000,19000
TRX-5476583,2025-09-02,September,Tuesday,No,Yes,Store A,Offline,VS001,Vanilla Shake,5,45000,225000,0.0,225000.0,19000,95000
TRX-5476583,2025-09-02,September,Tuesday,No,Yes,Store A,Offline,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-6707197,2025-09-02,September,Tuesday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,2,20000,40000,0.0,40000.0,9000,18000
TRX-6707197,2025-09-02,September,Tuesday,No,Yes,Store C,Offline,CB001,Choco Blast,1,45000,45000,0.0,45000.0,19000,19000
TRX-6707197,2025-09-02,September,Tuesday,No,Yes,Store C,Offline,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
TRX-2871534,2025-09-02,September,Tuesday,No,Yes,Store C,Offline,KI001,Kelapa Ijo,1,20000,20000,0.1,18000.0,9000,9000
TRX-5924115,2025-09-02,September,Tuesday,No,Yes,Shopee,Online,CW001,Coconut Water,1,18000,18000,0.0,18000.0,8000,8000
