Inventory_ID,Date,SKU,Channel,Quantity_Produced,Expiry_Date,Batch_ID
INV-010041,2025-09-02,KI001,Store A,6,2025-09-09,BAT-6375
INV-010042,2025-09-02,SK001,Store A,2,2025-09-08,BAT-1082
INV-010043,2025-09-02,TV001,Store A,10,2025-09-08,BAT-9522
INV-010044,2025-09-02,VS001,Store A,11,2025-09-09,BAT-3994
INV-010045,2025-09-02,CB001,Store B,13,2025-09-08,BAT-8415
INV-010046,2025-09-02,CW001,Store B,18,2025-09-07,BAT-7876
INV-010047,2025-09-02,DG001,Store B,3,2025-09-09,BAT-7113
INV-010048,2025-09-02,KI001,Store B,14,2025-09-07,BAT-1965
INV-010049,2025-09-02,SK001,Store B,6,2025-09-09,BAT-1966
INV-010050,2025-09-02,TV001,Store B,3,2025-09-09,BAT-7091
INV-010051,2025-09-02,VS001,Store B,3,2025-09-09,BAT-3916
INV-010052,2025-09-02,CB001,Store C,19,2025-09-07,BAT-2411
INV-010053,2025-09-02,CW001,Store C,37,2025-09-08,BAT-2324
INV-010054,2025-09-02,DG001,Store C,4,2025-09-07,BAT-6942
INV-010055,2025-09-02,KI001,Store C,29,2025-09-08,BAT-1872
INV-010056,2025-09-02,SK001,Store C,10,2025-09-07,BAT-4270
INV-010057,2025-09-02,TV001,Store C,11,2025-09-08,BAT-2161
INV-010058,2025-09-02,VS001,Store C,12,2025-09-09,BAT-6143
INV-010059,2025-09-02,CB001,WhatsApp,4,2025-09-07,BAT-8927
INV-010060,2025-09-02,CW001,WhatsApp,9,2025-09-09,BAT-2419
INV-010061,2025-09-02,DG001,WhatsApp,4,2025-09-09,BAT-6116
INV-010062,2025-09-02,KI001,WhatsApp,23,2025-09-08,BAT-5801
INV-010063,2025-09-02,SK001,WhatsApp,2,2025-09-09,BAT-3307
INV-010064,2025-09-02,TV001,WhatsApp,4,2025-09-09,BAT-8673
INV-010065,2025-09-02,VS001,WhatsApp,4,2025-09-09,BAT-4495
INV-010066,2025-09-03,CB001,Shopee,13,2025-09-09,BAT-6646
INV-010067,2025-09-03,CW001,Shopee,12,2025-09-09,BAT-5571
INV-010068,2025-09-03,KI001,Shopee,13,2025-09-08,BAT-7773
INV-010069,2025-09-03,SK001,Shopee,4,2025-09-08,BAT-9432
INV-010070,2025-09-03,TV001,Shopee,18,2025-09-09,BAT-4312
INV-010071,2025-09-03,VS001,Shopee,4,2025-09-10,BAT-2354
INV-010072,2025-09-03,CB001,Store A,15,2025-09-10,BAT-2158
INV-010073,2025-09-03,CW001,Store A,21,2025-09-09,BAT-1743
INV-010074,2025-09-03,DG001,Store A,6,2025-09-10,BAT-7607
INV-010075,2025-09-03,KI001,Store A,17,2025-09-08,BAT-2125
INV-010076,2025-09-03,SK001,Store A,4,2025-09-09,BAT-4495
INV-010077,2025-09-03,TV001,Store A,10,2025-09-10,BAT-6897
INV-010078,2025-09-03,VS001,Store A,5,2025-09-10,BAT-4964
INV-010079,2025-09-03,CB001,Store B,7,2025-09-08,BAT-7892
INV-010080,2025-09-03,CW001,Store B,20,2025-09-09,BAT-5472
INV-010081,2025-09-03,DG001,Store B,2,2025-09-09,BAT-1637
INV-010082,2025-09-03,KI001,Store B,8,2025-09-09,BAT-4174
INV-010083,2025-09-03,SK001,Store B,8,2025-09-08,BAT-5118
INV-010084,2025-09-03,TV001,Store B,8,2025-09-10,BAT-9247
INV-010085,2025-09-03,VS001,Store B,4,2025-09-09,BAT-3897
INV-010086,2025-09-03,CB001,Store C,29,2025-09-08,BAT-7268
INV-010087,2025-09-03,CW001,Store C,40,2025-09-10,BAT-5881
INV-010088,2025-09-03,DG001,Store C,5,2025-09-08,BAT-9850
INV-010089,2025-09-03,KI001,Store C,34,2025-09-09,BAT-1869
INV-010090,2025-09-03,SK001,Store C,16,2025-09-09,BAT-5533
INV-010091,2025-09-03,TV001,Store C,9,2025-09-09,BAT-6899
INV-010092,2025-09-03,VS001,Store C,7,2025-09-09,BAT-6774
INV-010093,2025-09-03,CB001,WhatsApp,5,2025-09-09,BAT-3612
INV-010094,2025-09-03,CW001,WhatsApp,11,2025-09-08,BAT-1159
INV-010095,2025-09-03,DG001,WhatsApp,3,2025-09-10,BAT-6460
INV-010096,2025-09-03,KI001,WhatsApp,6,2025-09-09,BAT-2755
INV-010097,2025-09-03,SK001,WhatsApp,3,2025-09-10,BAT-6070
INV-010098,2025-09-03,TV001,WhatsApp,8,2025-09-10,BAT-2666
INV-010099,2025-09-03,VS001,WhatsApp,3,2025-09-08,BAT-2365
INV-010100,2025-09-04,CB001,Shopee,30,2025-09-10,BAT-9315
INV-010101,2025-09-04,CW001,Shopee,18,2025-09-09,BAT-1312
INV-010102,2025-09-04,DG001,Shopee,7,2025-09-10,BAT-8293
INV-010103,2025-09-04,KI001,Shopee,23,2025-09-09,BAT-3902
INV-010104,2025-09-04,SK001,Shopee,7,2025-09-09,BAT-7653
INV-010105,2025-09-04,TV001,Shopee,16,2025-09-10,BAT-4830
INV-010106,2025-09-04,VS001,Shopee,4,2025-09-10,BAT-2362
INV-010107,2025-09-04,CB001,Store A,6,2025-09-09,BAT-2354
INV-010108,2025-09-04,CW001,Store A,15,2025-09-09,BAT-8171
INV-010109,2025-09-04,DG001,Store A,4,2025-09-11,BAT-6854
INV-010110,2025-09-04,KI001,Store A,7,2025-09-09,BAT-1173
INV-010111,2025-09-04,SK001,Store A,12,2025-09-10,BAT-1831
INV-010112,2025-09-04,TV001,Store A,7,2025-09-09,BAT-6525
INV-010113,2025-09-04,VS001,Store A,4,2025-09-11,BAT-3999
INV-010114,2025-09-04,CB001,Store B,16,2025-09-10,BAT-5253
INV-010115,2025-09-04,CW001,Store B,13,2025-09-11,BAT-6567
INV-010116,2025-09-04,DG001,Store B,2,2025-09-10,BAT-1718
INV-010117,2025-09-04,KI001,Store B,10,2025-09-10,BAT-2636
INV-010118,2025-09-04,TV001,Store B,11,2025-09-11,BAT-4133
INV-010119,2025-09-04,VS001,Store B,3,2025-09-10,BAT-1811
INV-010120,2025-09-04,CB001,Store C,17,2025-09-11,BAT-6999
INV-010121,2025-09-04,CW001,Store C,25,2025-09-09,BAT-2077
INV-010122,2025-09-04,DG001,Store C,4,2025-09-10,BAT-5716
INV-010123,2025-09-04,KI001,Store C,34,2025-09-11,BAT-4542
INV-010124,2025-09-04,SK001,Store C,17,2025-09-11,BAT-1199
INV-010125,2025-09-04,TV001,Store C,13,2025-09-11,BAT-2941
INV-010126,2025-09-04,VS001,Store C,5,2025-09-10,BAT-3065
INV-010127,2025-09-04,CB001,WhatsApp,5,2025-09-09,BAT-8019
INV-010128,2025-09-04,CW001,WhatsApp,13,2025-09-11,BAT-5656
INV-010129,2025-09-04,KI001,WhatsApp,14,2025-09-11,BAT-5913
INV-010130,2025-09-04,SK001,WhatsApp,5,2025-09-09,BAT-4627
INV-010131,2025-09-04,VS001,WhatsApp,9,2025-09-10,BAT-3855
INV-010132,2025-09-05,CB001,Shopee,10,2025-09-11,BAT-6670
INV-010133,2025-09-05,CW001,Shopee,28,2025-09-10,BAT-7124
INV-010134,2025-09-05,DG001,Shopee,8,2025-09-11,BAT-3400
INV-010135,2025-09-05,KI001,Shopee,18,2025-09-11,BAT-2157
INV-010136,2025-09-05,SK001,Shopee,3,2025-09-11,BAT-8977
INV-010137,2025-09-05,TV001,Shopee,4,2025-09-12,BAT-1213
INV-010138,2025-09-05,VS001,Shopee,6,2025-09-11,BAT-8020
INV-010139,2025-09-05,CB001,Store A,7,2025-09-12,BAT-1963
INV-010140,2025-09-05,CW001,Store A,26,2025-09-11,BAT-8196
INV-010141,2025-09-05,DG001,Store A,2,2025-09-10,BAT-4958
INV-010142,2025-09-05,KI001,Store A,17,2025-09-12,BAT-5375
INV-010143,2025-09-05,SK001,Store A,5,2025-09-10,BAT-4568
INV-010144,2025-09-05,TV001,Store A,5,2025-09-12,BAT-5734
INV-010145,2025-09-05,VS001,Store A,5,2025-09-12,BAT-7143
INV-010146,2025-09-05,CB001,Store B,22,2025-09-10,BAT-1045
INV-010147,2025-09-05,CW001,Store B,28,2025-09-11,BAT-7176
INV-010148,2025-09-05,KI001,Store B,17,2025-09-10,BAT-6475
INV-010149,2025-09-05,SK001,Store B,13,2025-09-10,BAT-3632
INV-010150,2025-09-05,TV001,Store B,8,2025-09-10,BAT-2194
INV-010151,2025-09-05,VS001,Store B,13,2025-09-11,BAT-6129
INV-010152,2025-09-05,CB001,Store C,19,2025-09-11,BAT-4008
INV-010153,2025-09-05,CW001,Store C,38,2025-09-11,BAT-9802
INV-010154,2025-09-05,DG001,Store C,7,2025-09-12,BAT-2001
INV-010155,2025-09-05,KI001,Store C,28,2025-09-12,BAT-3448
INV-010156,2025-09-05,SK001,Store C,18,2025-09-10,BAT-6041
INV-010157,2025-09-05,TV001,Store C,18,2025-09-10,BAT-2142
INV-010158,2025-09-05,VS001,Store C,6,2025-09-10,BAT-1652
INV-010159,2025-09-05,CB001,WhatsApp,4,2025-09-11,BAT-1760
INV-010160,2025-09-05,CW001,WhatsApp,7,2025-09-10,BAT-9863
INV-010161,2025-09-05,DG001,WhatsApp,2,2025-09-11,BAT-9362
INV-010162,2025-09-05,KI001,WhatsApp,9,2025-09-10,BAT-3481
INV-010163,2025-09-05,SK001,WhatsApp,8,2025-09-10,BAT-2448
INV-010164,2025-09-05,TV001,WhatsApp,4,2025-09-11,BAT-4603
INV-010165,2025-09-05,VS001,WhatsApp,2,2025-09-12,BAT-1106
INV-010166,2025-09-06,CB001,Shopee,12,2025-09-13,BAT-6480
INV-010167,2025-09-06,CW001,Shopee,15,2025-09-12,BAT-6473
INV-010168,2025-09-06,DG001,Shopee,4,2025-09-13,BAT-9897
INV-010169,2025-09-06,KI001,Shopee,23,2025-09-13,BAT-4048
INV-010170,2025-09-06,SK001,Shopee,7,2025-09-13,BAT-7938
INV-010171,2025-09-06,TV001,Shopee,10,2025-09-12,BAT-1760
INV-010172,2025-09-06,VS001,Shopee,4,2025-09-11,BAT-7866
INV-010173,2025-09-06,CB001,Store A,6,2025-09-11,BAT-1138
INV-010174,2025-09-06,CW001,Store A,15,2025-09-11,BAT-8496
INV-010175,2025-09-06,DG001,Store A,4,2025-09-13,BAT-4056
INV-010176,2025-09-06,KI001,Store A,17,2025-09-12,BAT-8591
INV-010177,2025-09-06,SK001,Store A,2,2025-09-13,BAT-3065
INV-010178,2025-09-06,TV001,Store A,4,2025-09-12,BAT-2876
INV-010179,2025-09-06,VS001,Store A,6,2025-09-12,BAT-3655
INV-010180,2025-09-06,CB001,Store B,7,2025-09-13,BAT-1100
INV-010181,2025-09-06,CW001,Store B,10,2025-09-12,BAT-3756
INV-010182,2025-09-06,DG001,Store B,3,2025-09-13,BAT-3800
INV-010183,2025-09-06,KI001,Store B,11,2025-09-13,BAT-3039
INV-010184,2025-09-06,SK001,Store B,2,2025-09-12,BAT-1070
INV-010185,2025-09-06,TV001,Store B,7,2025-09-13,BAT-2547
INV-010186,2025-09-06,VS001,Store B,3,2025-09-11,BAT-9243
INV-010187,2025-09-06,CB001,Store C,10,2025-09-13,BAT-7085
INV-010188,2025-09-06,CW001,Store C,25,2025-09-13,BAT-2336
INV-010189,2025-09-06,DG001,Store C,4,2025-09-12,BAT-8598
INV-010190,2025-09-06,KI001,Store C,20,2025-09-12,BAT-3743
INV-010191,2025-09-06,SK001,Store C,6,2025-09-11,BAT-7254
INV-010192,2025-09-06,TV001,Store C,26,2025-09-11,BAT-1824
INV-010193,2025-09-06,VS001,Store C,4,2025-09-12,BAT-4872
INV-010194,2025-09-06,CB001,WhatsApp,3,2025-09-13,BAT-4538
INV-010195,2025-09-06,CW001,WhatsApp,21,2025-09-12,BAT-3532
INV-010196,2025-09-06,KI001,WhatsApp,7,2025-09-13,BAT-8857
INV-010197,2025-09-06,SK001,WhatsApp,2,2025-09-13,BAT-5523
INV-010198,2025-09-06,TV001,WhatsApp,10,2025-09-12,BAT-1875
INV-010199,2025-09-06,VS001,WhatsApp,2,2025-09-13,BAT-3262
INV-010200,2025-09-07,CB001,Shopee,9,2025-09-13,BAT-3662
INV-010201,2025-09-07,CW001,Shopee,20,2025-09-12,BAT-4502
INV-010202,2025-09-07,DG001,Shopee,6,2025-09-14,BAT-3088
INV-010203,2025-09-07,KI001,Shopee,21,2025-09-12,BAT-3216
INV-010204,2025-09-07,SK001,Shopee,3,2025-09-12,BAT-1969
INV-010205,2025-09-07,TV001,Shopee,4,2025-09-13,BAT-5566
INV-010206,2025-09-07,VS001,Shopee,3,2025-09-13,BAT-4463
INV-010207,2025-09-07,CB001,Store A,11,2025-09-14,BAT-9599
INV-010208,2025-09-07,CW001,Store A,18,2025-09-12,BAT-7905
INV-010209,2025-09-07,DG001,Store A,5,2025-09-13,BAT-4215
INV-010210,2025-09-07,KI001,Store A,6,2025-09-14,BAT-3073
INV-010211,2025-09-07,SK001,Store A,6,2025-09-14,BAT-1213
INV-010212,2025-09-07,TV001,Store A,5,2025-09-14,BAT-4405
INV-010213,2025-09-07,VS001,Store A,4,2025-09-13,BAT-3445
INV-010214,2025-09-07,CW001,Store B,14,2025-09-12,BAT-3139
INV-010215,2025-09-07,DG001,Store B,3,2025-09-13,BAT-6884
INV-010216,2025-09-07,KI001,Store B,11,2025-09-12,BAT-2691
INV-010217,2025-09-07,SK001,Store B,2,2025-09-14,BAT-4177
INV-010218,2025-09-07,TV001,Store B,8,2025-09-12,BAT-9246
INV-010219,2025-09-07,VS001,Store B,2,2025-09-13,BAT-1770
INV-010220,2025-09-07,CB001,Store C,34,2025-09-13,BAT-4228
INV-010221,2025-09-07,CW001,Store C,32,2025-09-12,BAT-6643
INV-010222,2025-09-07,DG001,Store C,2,2025-09-14,BAT-4781
INV-010223,2025-09-07,KI001,Store C,17,2025-09-13,BAT-8486
INV-010224,2025-09-07,SK001,Store C,16,2025-09-13,BAT-2572
INV-010225,2025-09-07,TV001,Store C,12,2025-09-12,BAT-3163
INV-010226,2025-09-07,VS001,Store C,6,2025-09-14,BAT-1375
INV-010227,2025-09-07,CB001,WhatsApp,4,2025-09-14,BAT-2468
INV-010228,2025-09-07,CW001,WhatsApp,21,2025-09-14,BAT-2212
INV-010229,2025-09-07,DG001,WhatsApp,5,2025-09-13,BAT-1669
INV-010230,2025-09-07,KI001,WhatsApp,5,2025-09-12,BAT-9698
INV-010231,2025-09-07,SK001,WhatsApp,5,2025-09-12,BAT-5319
INV-010232,2025-09-07,TV001,WhatsApp,4,2025-09-14,BAT-9867
INV-010233,2025-09-07,VS001,WhatsApp,10,2025-09-12,BAT-7342
INV-010234,2025-09-08,CB001,Shopee,4,2025-09-13,BAT-2329
INV-010235,2025-09-08,CW001,Shopee,8,2025-09-13,BAT-2941
INV-010236,2025-09-08,DG001,Shopee,3,2025-09-13,BAT-9209
INV-010237,2025-09-08,KI001,Shopee,14,2025-09-14,BAT-7038
INV-010238,2025-09-08,SK001,Shopee,5,2025-09-14,BAT-7443
INV-010239,2025-09-08,TV001,Shopee,4,2025-09-13,BAT-7277
INV-010240,2025-09-08,CB001,Store A,9,2025-09-14,BAT-3506
INV-010241,2025-09-08,CW001,Store A,8,2025-09-15,BAT-7450
INV-010242,2025-09-08,KI001,Store A,5,2025-09-13,BAT-5967
INV-010243,2025-09-08,SK001,Store A,3,2025-09-14,BAT-5923
INV-010244,2025-09-08,TV001,Store A,13,2025-09-14,BAT-8069
INV-010245,2025-09-08,VS001,Store A,2,2025-09-13,BAT-6016
INV-010246,2025-09-08,CB001,Store B,4,2025-09-13,BAT-4681
INV-010247,2025-09-08,CW001,Store B,6,2025-09-14,BAT-1139
INV-010248,2025-09-08,KI001,Store B,3,2025-09-15,BAT-7175
INV-010249,2025-09-08,SK001,Store B,3,2025-09-13,BAT-3121
INV-010250,2025-09-08,TV001,Store B,3,2025-09-14,BAT-3206
INV-010251,2025-09-08,VS001,Store B,4,2025-09-13,BAT-2449
INV-010252,2025-09-08,CB001,Store C,16,2025-09-13,BAT-5189
INV-010253,2025-09-08,CW001,Store C,21,2025-09-14,BAT-3251
INV-010254,2025-09-08,DG001,Store C,5,2025-09-15,BAT-6628
INV-010255,2025-09-08,KI001,Store C,27,2025-09-15,BAT-6252
INV-010256,2025-09-08,SK001,Store C,12,2025-09-13,BAT-2661
INV-010257,2025-09-08,TV001,Store C,11,2025-09-15,BAT-1643
INV-010258,2025-09-08,VS001,Store C,8,2025-09-14,BAT-2607
INV-010259,2025-09-08,CB001,WhatsApp,4,2025-09-14,BAT-3416
INV-010260,2025-09-08,CW001,WhatsApp,11,2025-09-15,BAT-6097
INV-010261,2025-09-08,DG001,WhatsApp,2,2025-09-15,BAT-2386
INV-010262,2025-09-08,KI001,WhatsApp,5,2025-09-15,BAT-7230
INV-010263,2025-09-08,SK001,WhatsApp,2,2025-09-13,BAT-6551
INV-010264,2025-09-08,TV001,WhatsApp,4,2025-09-13,BAT-5615
INV-010265,2025-09-08,VS001,WhatsApp,6,2025-09-13,BAT-6990
INV-010266,2025-09-09,CB001,Shopee,12,2025-09-15,BAT-9710
INV-010267,2025-09-09,CW001,Shopee,18,2025-09-14,BAT-5271
INV-010268,2025-09-09,DG001,Shopee,3,2025-09-14,BAT-4946
INV-010269,2025-09-09,KI001,Shopee,20,2025-09-16,BAT-6993
INV-010270,2025-09-09,SK001,Shopee,10,2025-09-16,BAT-9183
INV-010271,2025-09-09,TV001,Shopee,24,2025-09-15,BAT-5375
INV-010272,2025-09-09,VS001,Shopee,8,2025-09-15,BAT-7396
INV-010273,2025-09-09,CB001,Store A,4,2025-09-16,BAT-5400
INV-010274,2025-09-09,CW001,Store A,10,2025-09-15,BAT-7576
INV-010275,2025-09-09,KI001,Store A,6,2025-09-16,BAT-5395
INV-010276,2025-09-09,SK001,Store A,2,2025-09-16,BAT-6496
INV-010277,2025-09-09,TV001,Store A,6,2025-09-15,BAT-4930
INV-010278,2025-09-09,VS001,Store A,5,2025-09-16,BAT-8736
INV-010279,2025-09-09,CB001,Store B,3,2025-09-15,BAT-7439
INV-010280,2025-09-09,CW001,Store B,2,2025-09-16,BAT-9237
INV-010281,2025-09-09,KI001,Store B,5,2025-09-14,BAT-8059
INV-010282,2025-09-09,TV001,Store B,5,2025-09-15,BAT-3072
INV-010283,2025-09-09,VS001,Store B,3,2025-09-15,BAT-5678
INV-010284,2025-09-09,CB001,Store C,21,2025-09-16,BAT-1129
INV-010285,2025-09-09,CW001,Store C,23,2025-09-16,BAT-6019
INV-010286,2025-09-09,KI001,Store C,18,2025-09-15,BAT-4037
INV-010287,2025-09-09,SK001,Store C,3,2025-09-16,BAT-3336
INV-010288,2025-09-09,TV001,Store C,6,2025-09-15,BAT-7247
INV-010289,2025-09-09,VS001,Store C,5,2025-09-15,BAT-3977
INV-010290,2025-09-09,CB001,WhatsApp,3,2025-09-14,BAT-1221
INV-010291,2025-09-09,CW001,WhatsApp,5,2025-09-15,BAT-3239
INV-010292,2025-09-09,DG001,WhatsApp,2,2025-09-16,BAT-2944
INV-010293,2025-09-09,KI001,WhatsApp,4,2025-09-15,BAT-3007
INV-010294,2025-09-09,SK001,WhatsApp,7,2025-09-15,BAT-1862
INV-010295,2025-09-09,TV001,WhatsApp,2,2025-09-15,BAT-9920
INV-010296,2025-09-09,VS001,WhatsApp,3,2025-09-14,BAT-3579
INV-010297,2025-09-10,CB001,Shopee,15,2025-09-15,BAT-5931
INV-010298,2025-09-10,CW001,Shopee,19,2025-09-16,BAT-4497
INV-010299,2025-09-10,DG001,Shopee,3,2025-09-15,BAT-8418
INV-010300,2025-09-10,KI001,Shopee,10,2025-09-15,BAT-8502
INV-010301,2025-09-10,SK001,Shopee,9,2025-09-17,BAT-1296
INV-010302,2025-09-10,TV001,Shopee,10,2025-09-17,BAT-2998
INV-010303,2025-09-10,CB001,Store A,3,2025-09-17,BAT-6837
INV-010304,2025-09-10,CW001,Store A,4,2025-09-15,BAT-2970
INV-010305,2025-09-10,DG001,Store A,3,2025-09-17,BAT-9994
INV-010306,2025-09-10,KI001,Store A,4,2025-09-17,BAT-5601
INV-010307,2025-09-10,SK001,Store A,3,2025-09-15,BAT-6943
INV-010308,2025-09-10,TV001,Store A,6,2025-09-17,BAT-5577
INV-010309,2025-09-10,CB001,Store B,16,2025-09-15,BAT-8093
INV-010310,2025-09-10,CW001,Store B,6,2025-09-17,BAT-8547
INV-010311,2025-09-10,KI001,Store B,4,2025-09-17,BAT-9160
INV-010312,2025-09-10,SK001,Store B,2,2025-09-16,BAT-4178
INV-010313,2025-09-10,TV001,Store B,5,2025-09-15,BAT-1414
INV-010314,2025-09-10,VS001,Store B,4,2025-09-16,BAT-6594
INV-010315,2025-09-10,CB001,Store C,22,2025-09-15,BAT-4646
INV-010316,2025-09-10,CW001,Store C,27,2025-09-16,BAT-8421
INV-010317,2025-09-10,DG001,Store C,3,2025-09-16,BAT-7558
INV-010318,2025-09-10,KI001,Store C,25,2025-09-16,BAT-4085
INV-010319,2025-09-10,SK001,Store C,8,2025-09-15,BAT-2826
INV-010320,2025-09-10,TV001,Store C,12,2025-09-15,BAT-1764
INV-010321,2025-09-10,VS001,Store C,11,2025-09-17,BAT-6850
INV-010322,2025-09-10,CB001,WhatsApp,5,2025-09-16,BAT-9798
INV-010323,2025-09-10,CW001,WhatsApp,7,2025-09-16,BAT-6332
INV-010324,2025-09-10,KI001,WhatsApp,5,2025-09-17,BAT-1747
INV-010325,2025-09-10,SK001,WhatsApp,3,2025-09-15,BAT-8927
INV-010326,2025-09-10,TV001,WhatsApp,3,2025-09-15,BAT-3097
INV-010327,2025-09-10,VS001,WhatsApp,2,2025-09-15,BAT-6239
INV-010328,2025-09-11,CB001,Shopee,9,2025-09-16,BAT-2964
INV-010329,2025-09-11,CW001,Shopee,26,2025-09-18,BAT-5933
INV-010330,2025-09-11,DG001,Shopee,5,2025-09-18,BAT-3022
INV-010331,2025-09-11,KI001,Shopee,14,2025-09-16,BAT-7520
INV-010332,2025-09-11,SK001,Shopee,4,2025-09-18,BAT-2422
INV-010333,2025-09-11,TV001,Shopee,8,2025-09-16,BAT-1574
INV-010334,2025-09-11,VS001,Shopee,7,2025-09-16,BAT-7194
INV-010335,2025-09-11,CB001,Store A,7,2025-09-17,BAT-3525
INV-010336,2025-09-11,CW001,Store A,7,2025-09-17,BAT-3883
INV-010337,2025-09-11,DG001,Store A,3,2025-09-16,BAT-4055
INV-010338,2025-09-11,KI001,Store A,12,2025-09-18,BAT-8940
INV-010339,2025-09-11,SK001,Store A,6,2025-09-17,BAT-3094
INV-010340,2025-09-11,TV001,Store A,3,2025-09-18,BAT-6771
INV-010341,2025-09-11,VS001,Store A,5,2025-09-18,BAT-4493
INV-010342,2025-09-11,CW001,Store B,10,2025-09-16,BAT-3768
INV-010343,2025-09-11,DG001,Store B,7,2025-09-18,BAT-8253
INV-010344,2025-09-11,KI001,Store B,4,2025-09-18,BAT-4114
INV-010345,2025-09-11,SK001,Store B,2,2025-09-18,BAT-3855
INV-010346,2025-09-11,TV001,Store B,2,2025-09-17,BAT-8760
INV-010347,2025-09-11,VS001,Store B,9,2025-09-16,BAT-6800
INV-010348,2025-09-11,CB001,Store C,7,2025-09-16,BAT-7934
INV-010349,2025-09-11,CW001,Store C,15,2025-09-18,BAT-6734
INV-010350,2025-09-11,DG001,Store C,3,2025-09-17,BAT-7506
INV-010351,2025-09-11,KI001,Store C,8,2025-09-16,BAT-8522
INV-010352,2025-09-11,SK001,Store C,2,2025-09-16,BAT-7374
INV-010353,2025-09-11,TV001,Store C,3,2025-09-16,BAT-9284
INV-010354,2025-09-11,VS001,Store C,5,2025-09-16,BAT-7244
INV-010355,2025-09-11,CB001,WhatsApp,9,2025-09-16,BAT-9050
INV-010356,2025-09-11,CW001,WhatsApp,12,2025-09-17,BAT-2634
INV-010357,2025-09-11,KI001,WhatsApp,8,2025-09-18,BAT-4641
INV-010358,2025-09-11,SK001,WhatsApp,2,2025-09-18,BAT-3996
INV-010359,2025-09-11,VS001,WhatsApp,2,2025-09-17,BAT-8122
INV-010360,2025-09-12,CB001,Shopee,5,2025-09-18,BAT-9751
INV-010361,2025-09-12,CW001,Shopee,23,2025-09-18,BAT-8839
INV-010362,2025-09-12,DG001,Shopee,4,2025-09-18,BAT-5303
INV-010363,2025-09-12,KI001,Shopee,22,2025-09-17,BAT-4550
INV-010364,2025-09-12,SK001,Shopee,3,2025-09-17,BAT-3320
INV-010365,2025-09-12,TV001,Shopee,5,2025-09-19,BAT-9328
INV-010366,2025-09-12,VS001,Shopee,3,2025-09-17,BAT-5784
INV-010367,2025-09-12,CB001,Store A,8,2025-09-17,BAT-6670
